iter	RMSE
0	17622628.3
1	16258336.19
2	15395371.59
3	14846254.1
4	14547337.8
5	14291112.38
6	14096392.47
7	13874720.58
8	13649296.81
9	13564151.62
10	13488488.86
11	13350563
12	13284631.17
13	13144053.76
14	13073976.15
15	12884703.07
16	12850872.96
17	12761906.89
18	12680670.38
19	12573780.71
20	12542953.76
21	12454367.71
22	12415970.86
23	12393581.67
24	12374663.36
25	12320889.4
26	12175107.74
27	12086446.4
28	12067825.49
29	12019119.16
30	11929226.71
31	11900869.97
32	11872852.79
33	11828678.51
34	11812365.27
35	11799367.95
36	11786122.57
37	11752951.05
38	11744313.66
39	11687675.77
40	11627914.04
41	11580646.96
42	11552408.9
43	11407166.34
44	11381805.51
45	11369392.16
46	11340883.9
47	11320630.3
48	11311248.29
49	11291771.83
50	11282848.77
51	11259247.23
52	11137786.85
53	11039625.75
54	10977419.1
55	10908524.92
56	10852195.23
57	10835338.73
58	10788989.99
59	10768897.13
60	10738166.79
61	10700532.09
62	10689757.82
63	10671435.47
64	10651070.89
65	10604378.94
66	10591984.14
67	10560496.3
68	10544878.91
69	10531101.43
70	10505033.61
71	10492926.83
72	10483512.71
73	10462717.61
74	10454800.7
75	10380906.21
76	10367313.34
77	10345289.17
78	10328114.67
79	10321637.5
80	10307937.69
81	10294454.44
82	10281278.57
83	10228210.18
84	10188195.44
85	10177217.73
86	10143964.29
87	10134237.65
88	10121655.5
89	10115296.3
90	10110163.08
91	10098490.04
92	10062597.53
93	10051348.41
94	10033503.4
95	10021911.1
96	10003634.37
97	9988820.598
98	9978931.976
99	9964341.684
